id,internal_code,name
product.product_product_8,2,iMac
product.product_product_6,3,iPad Mini
product.product_product_4,4,"iPad Retina Display (White, 16 GB)"
product.product_product_4b,5,"iPad Retina Display (Black, 16 GB)"
product.product_product_4c,6,"iPad Retina Display (White, 32 GB)"
product.product_product_11,7,iPod (16 GB)
product.product_product_11b,8,IPod (32 GB)
product.product_product_7,9,Apple In-Ear Headphones
product.product_product_9,11,Apple Wireless Keyboard
product.product_product_5,13,Custom Computer (kit)
product.product_product_24,14,Graphics Card
product.product_product_16,15,Computer Case
product.product_product_22,18,Processor Core i5 2.70 Ghz
product.product_product_25,30,Laptop E5023
product.product_product_20,33,Motherboard I9P57
product.product_product_10,35,"Mouse, Optical"
product.product_product_12,36,"Mouse, Wireless"
product.product_product_3,38,Computer SC234
product.product_product_13,44,RAM SR5
product.product_product_2,52,Support Services
product.product_product_1,53,GAP Analysis Service
